"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4587","[Test][Positive] : All social icons open in a new tab @smoke","webkit","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","2002","[Test][Positive] : Facebook icon is visible and has correct href @smoke","chromium","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","2684","[Test][Positive] : User nav dropdown toggle is visible @smoke","firefox","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","5183","[Test][Positive] : Header Garage link is visible and active @smoke","webkit","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2324","[Test][Positive] : Sign In button opens sign in modal @smoke","chromium","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","5132","[Test][Positive] : Garage heading is correct @smoke","webkit","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","3579","register and authenticate user","setup","2026-06-15","passed","2026-06-15","","setup/auth.setup.js","",""
"","4165","[Test][Positive] : Guest log in button is visible and enabled @smoke","webkit","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","5784","[Test][Negative] : Register button is disabled when all fields are empty @smoke","webkit","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","2596","[Test][Positive] : Logo is visible and links to home page @smoke","firefox","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","10491","[Test][Positive] : Successful registration @smoke","webkit","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","8160","[Test][Negative] : Name field shows error for invalid characters (numbers) @smoke","webkit","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","2667","[Test][Positive] : All social icons open in a new tab @smoke","firefox","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","2610","[Test][Positive] : Hero description is visible and has correct text @smoke","firefox","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","5877","[Test][Negative] : Email field shows error for incorrect email format @smoke","webkit","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","1922","[Test][Positive] : Logo is visible and links to home page @smoke","chromium","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","2905","[Test][Positive] : Sign In button opens sign in modal @smoke","firefox","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","1654","[Test][Positive] : Telegram icon is visible and has correct href @smoke","chromium","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","2153","[Test][Positive] : Add car button is visible and enabled @smoke","chromium","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2643","[Test][Positive] : Hero Sign up button is visible and enabled @smoke","firefox","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","2001","[Test][Positive] : Hero Sign up button opens registration modal @smoke","chromium","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","2730","[Test][Positive] : Hero title is visible and has correct text @smoke","firefox","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","4502","[Test][Positive] : Hero Sign up button is visible and enabled @smoke","webkit","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","1767","[Test][Positive] : Guest log in button is visible and enabled @smoke","chromium","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","1872","[Test][Positive] : Authorized user sees Garage heading @smoke","chromium:auth","2026-06-15","passed","2026-06-15","Garage page (authorized user)","e2e/playwrightFixturesAndStorageStateHomeWork/task1.spec.js","",""
"","4531","[Test][Positive] : Hero description is visible and has correct text @smoke","webkit","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","2001","[Test][Positive] : Guest log in redirects to garage page @smoke","chromium","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","5733","[Test][Positive] : Sign In button opens sign in modal @smoke","webkit","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","1745","[Test][Positive] : Hero title is visible and has correct text @smoke","chromium","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","5765","[Test][Positive] : Hero Sign up button opens registration modal @smoke","webkit","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
